feature,gain,split
avg_dcc_chg1_lag19,0.0,0
Total_Spillover_chg1_lag19,0.0,0
Crude_Oil_y_lag11,0.0,0
Total_Spillover_chg1_lag17,0.0,0
Gold_y_lag7,0.0,0
Gold_y_lag20,0.0,0
Gold_y_lag13,0.0,0
Gold_y_lag11,0.0,0
Gold_y_lag10,0.0,0
Gold_y_lag9,0.0,0
Gold_y_lag8,0.0,0
Gold_y_lag5,0.0,0
Wheat_x_lag3,0.0,0
Gold_x_lag20,0.0,0
Gold_x_lag18,0.0,0
Gold_x_lag14,0.0,0
Gold_x_lag8,0.0,0
IEF_y_lag20,0.0,0
IEF_y_lag19,0.0,0
Wheat_x_lag2,0.0,0
Wheat_x_lag8,0.0,0
IEF_y_lag11,0.0,0
Wheat_y_lag5,0.0,0
Natural_Gas_x_lag6,0.0,0
Natural_Gas_x_lag5,0.0,0
Natural_Gas_x_lag1,0.0,0
Wheat_y_lag13,0.0,0
Wheat_y_lag11,0.0,0
Wheat_y_lag10,0.0,0
Wheat_y_lag4,0.0,0
Wheat_x_lag9,0.0,0
Wheat_y_lag3,0.0,0
Wheat_y_lag2,0.0,0
Wheat_x_lag20,0.0,0
Wheat_x_lag17,0.0,0
Wheat_x_lag11,0.0,0
Wheat_x_lag10,0.0,0
IEF_y_lag17,0.0,0
IEF_y_lag10,0.0,0
Natural_Gas_x_lag11,0.0,0
S&P_500_y_lag1,0.0,0
S&P_500_y_lag11,0.0,0
S&P_500_y_lag9,0.0,0
S&P_500_y_lag8,0.0,0
S&P_500_y_lag7,0.0,0
S&P_500_y_lag6,0.0,0
S&P_500_y_lag2,0.0,0
S&P_500_x_lag18,0.0,0
S&P_500_y_lag14,0.0,0
S&P_500_x_lag17,0.0,0
S&P_500_x_lag13,0.0,0
S&P_500_x_lag10,0.0,0
S&P_500_x_lag7,0.0,0
S&P_500_x_lag4,0.0,0
S&P_500_x_lag3,0.0,0
S&P_500_y_lag12,0.0,0
S&P_500_y_lag15,0.0,0
IEF_y_lag9,0.0,0
IEF_x_lag14,0.0,0
IEF_y_lag8,0.0,0
IEF_y_lag3,0.0,0
IEF_x_lag20,0.0,0
IEF_x_lag19,0.0,0
IEF_x_lag16,0.0,0
IEF_x_lag15,0.0,0
IEF_x_lag13,0.0,0
S&P_500_y_lag16,0.0,0
IEF_x_lag12,0.0,0
IEF_x_lag11,0.0,0
IEF_x_lag10,0.0,0
IEF_x_lag8,0.0,0
IEF_x_lag5,0.0,0
IEF_x_lag3,0.0,0
Natural_Gas_x_lag7,0.0,0
Natural_Gas_x_lag14,0.0,0
Total_Spillover_chg1_lag15,0.0,0
PBW_y_lag19,0.0,0
avg_dcc_lag8,0.0,0
avg_dcc_lag7,0.0,0
avg_dcc_lag6,0.0,0
avg_dcc_lag5,0.0,0
avg_dcc_lag4,0.0,0
avg_dcc_lag3,0.0,0
PBW_y_lag18,0.0,0
avg_dcc_lag10,0.0,0
PBW_y_lag16,0.0,0
PBW_y_lag14,0.0,0
PBW_y_lag13,0.0,0
PBW_y_lag12,0.0,0
PBW_y_lag11,0.0,0
PBW_y_lag9,0.0,0
avg_dcc_lag9,0.0,0
avg_dcc_lag11,0.0,0
PBW_y_lag6,0.0,0
Total_Spillover_chg1_lag4,0.0,0
Total_Spillover_chg1_lag13,0.0,0
