feature,mean_abs_shap,n_obs
Total_Spillover_chg1_lag10,0.0,969
Total_Spillover_chg1_lag11,0.0,969
Total_Spillover_chg1_lag12,0.0,969
Total_Spillover_chg1_lag13,0.0,969
Total_Spillover_chg1_lag14,0.0,969
Total_Spillover_chg1_lag15,0.0,969
Total_Spillover_chg1_lag16,0.0,969
Total_Spillover_chg1_lag17,0.0,969
Total_Spillover_chg1_lag18,0.00034722724,969
Total_Spillover_chg1_lag19,0.0,969
Total_Spillover_chg1_lag20,0.0,969
Total_Spillover_avg5_lag1,0.0,969
Total_Spillover_avg5_lag2,0.0,969
Total_Spillover_avg5_lag3,0.0,969
Total_Spillover_avg5_lag4,0.0,969
Total_Spillover_avg5_lag5,0.0,969
Total_Spillover_avg5_lag6,0.0,969
Total_Spillover_avg5_lag7,0.0,969
Total_Spillover_avg5_lag8,0.010365053,969
Total_Spillover_avg5_lag9,0.0,969
Total_Spillover_avg5_lag10,0.0,969
Total_Spillover_avg5_lag11,0.0,969
Total_Spillover_avg5_lag12,0.0,969
Total_Spillover_avg5_lag13,0.0,969
Total_Spillover_avg5_lag14,0.0,969
Total_Spillover_avg5_lag15,0.0,969
Total_Spillover_avg5_lag16,0.0015131063,969
Total_Spillover_avg5_lag17,0.0,969
Total_Spillover_avg5_lag18,0.0,969
Total_Spillover_avg5_lag19,0.0,969
Total_Spillover_avg5_lag20,0.0,969
Total_Spillover_avg22_lag1,0.0,969
Total_Spillover_avg22_lag2,0.0,969
Total_Spillover_avg22_lag3,0.0,969
Total_Spillover_avg22_lag4,0.0,969
Total_Spillover_avg22_lag5,0.0,969
Total_Spillover_avg22_lag6,0.0,969
Total_Spillover_avg22_lag7,0.0,969
Total_Spillover_avg22_lag8,0.0,969
Total_Spillover_avg22_lag9,0.0,969
Total_Spillover_avg22_lag10,0.0,969
Total_Spillover_avg22_lag11,0.0,969
Total_Spillover_avg22_lag12,0.0,969
Total_Spillover_avg22_lag13,0.0,969
Total_Spillover_avg22_lag14,0.0,969
Total_Spillover_avg22_lag15,0.0,969
Total_Spillover_avg22_lag16,0.0,969
Total_Spillover_avg22_lag17,0.0,969
Total_Spillover_avg22_lag18,0.0,969
Total_Spillover_avg22_lag19,0.0,969
Total_Spillover_avg22_lag20,0.0,969
Total_Spillover_z20_lag1,0.018137703,969
Total_Spillover_z20_lag2,0.0,969
Total_Spillover_z20_lag3,0.0,969
Total_Spillover_z20_lag4,0.0,969
Total_Spillover_z20_lag5,0.0,969
Total_Spillover_z20_lag6,0.0,969
Total_Spillover_z20_lag7,0.0,969
Total_Spillover_z20_lag8,0.0,969
Total_Spillover_z20_lag9,0.0,969
Total_Spillover_z20_lag10,0.0006226987,969
Total_Spillover_z20_lag11,0.0,969
Total_Spillover_z20_lag12,0.0,969
Total_Spillover_z20_lag13,0.0,969
Total_Spillover_z20_lag14,0.0022927823,969
Total_Spillover_z20_lag15,0.0,969
Total_Spillover_z20_lag16,0.0,969
Total_Spillover_z20_lag17,0.0023763846,969
Total_Spillover_z20_lag18,0.0,969
Total_Spillover_z20_lag19,0.0,969
Total_Spillover_z20_lag20,0.0,969
avg_dcc_chg1_lag1,0.0,969
avg_dcc_chg1_lag2,0.0,969
avg_dcc_chg1_lag3,0.0,969
avg_dcc_chg1_lag4,0.00032545388,969
avg_dcc_chg1_lag5,0.0,969
avg_dcc_chg1_lag6,0.0,969
avg_dcc_chg1_lag7,0.0,969
avg_dcc_chg1_lag8,0.0,969
avg_dcc_chg1_lag9,0.0,969
avg_dcc_chg1_lag10,0.0,969
avg_dcc_chg1_lag11,0.0,969
avg_dcc_chg1_lag12,0.0016453877,969
avg_dcc_chg1_lag13,0.0,969
avg_dcc_chg1_lag14,0.0,969
avg_dcc_chg1_lag15,0.0,969
avg_dcc_chg1_lag16,0.00057662034,969
avg_dcc_chg1_lag17,0.0,969
avg_dcc_chg1_lag18,0.0,969
avg_dcc_chg1_lag19,0.0,969
avg_dcc_chg1_lag20,0.0,969
avg_dcc_avg5_lag1,0.0,969
avg_dcc_avg5_lag2,0.0,969
avg_dcc_avg5_lag3,0.0,969
avg_dcc_avg5_lag4,0.0015092917,969
avg_dcc_avg5_lag5,0.0023086225,969
avg_dcc_avg5_lag6,0.0,969
avg_dcc_avg5_lag7,0.0,969
avg_dcc_avg5_lag8,0.0,969
avg_dcc_avg5_lag9,0.0,969
avg_dcc_avg5_lag10,0.0014841405,969
avg_dcc_avg5_lag11,0.0,969
avg_dcc_avg5_lag12,0.0,969
avg_dcc_avg5_lag13,0.0,969
avg_dcc_avg5_lag14,0.0,969
avg_dcc_avg5_lag15,0.0,969
avg_dcc_avg5_lag16,0.0,969
avg_dcc_avg5_lag17,0.0,969
avg_dcc_avg5_lag18,0.0,969
avg_dcc_avg5_lag19,0.0032985436,969
avg_dcc_avg5_lag20,0.002210471,969
avg_dcc_avg22_lag1,0.0010470385,969
avg_dcc_avg22_lag2,0.0,969
avg_dcc_avg22_lag3,0.0,969
avg_dcc_avg22_lag4,0.0,969
avg_dcc_avg22_lag5,0.0,969
avg_dcc_avg22_lag6,0.0,969
avg_dcc_avg22_lag7,0.0,969
avg_dcc_avg22_lag8,0.0,969
avg_dcc_avg22_lag9,0.0,969
avg_dcc_avg22_lag10,0.0,969
avg_dcc_avg22_lag11,0.0,969
avg_dcc_avg22_lag12,0.0,969
avg_dcc_avg22_lag13,0.0,969
avg_dcc_avg22_lag14,0.0,969
avg_dcc_avg22_lag15,0.0018692875,969
avg_dcc_avg22_lag16,0.003138148,969
avg_dcc_avg22_lag17,0.0015515202,969
avg_dcc_avg22_lag18,0.0018973098,969
avg_dcc_avg22_lag19,0.0014261678,969
avg_dcc_avg22_lag20,0.0064311153,969
avg_dcc_z20_lag1,0.0,969
avg_dcc_z20_lag2,0.0,969
avg_dcc_z20_lag3,0.0,969
avg_dcc_z20_lag4,0.0,969
avg_dcc_z20_lag5,0.0,969
avg_dcc_z20_lag6,0.0,969
avg_dcc_z20_lag7,0.0,969
avg_dcc_z20_lag8,0.0,969
avg_dcc_z20_lag9,0.000982592,969
avg_dcc_z20_lag10,0.0,969
avg_dcc_z20_lag11,0.00027946927,969
avg_dcc_z20_lag12,0.0,969
avg_dcc_z20_lag13,0.00088943075,969
avg_dcc_z20_lag14,0.0,969
avg_dcc_z20_lag15,0.0,969
avg_dcc_z20_lag16,0.002209445,969
avg_dcc_z20_lag17,0.0010675613,969
avg_dcc_z20_lag18,0.0,969
avg_dcc_z20_lag19,0.0,969
avg_dcc_z20_lag20,0.0,969
Regime_SegID,0.0,969
