Date,P(High),P(Med),P(Low)
2011-09-30,0.356395,0.333012,0.348945
2011-10-07,0.340301,0.317973,0.333188
2011-10-14,0.324934,0.348773,0.318142
2011-10-21,0.355418,0.333023,0.348933
2011-10-28,0.339368,0.317984,0.333176
2011-11-04,0.324043,0.348783,0.318130
2011-11-11,0.354568,0.333032,0.348922
2011-11-18,0.338556,0.317993,0.333165
2011-11-28,0.323268,0.348791,0.318120
2011-12-05,0.353828,0.333040,0.348913
2011-12-12,0.337850,0.318001,0.333156
2011-12-19,0.322593,0.348799,0.318112
2011-12-27,0.353183,0.333048,0.348905
2012-01-04,0.337234,0.318008,0.333149
2012-01-11,0.322006,0.348805,0.318104
2012-01-19,0.352622,0.333054,0.348897
2012-01-26,0.336699,0.318014,0.333142
2012-02-02,0.321494,0.348811,0.318098
2012-02-09,0.352134,0.333059,0.348891
2012-02-16,0.336232,0.318019,0.333136
2012-02-24,0.321049,0.348816,0.318092
2012-03-02,0.351709,0.333064,0.348884
2012-03-09,0.335826,0.318024,0.333129
2012-03-16,0.320661,0.348821,0.318088
2012-03-23,0.351338,0.333068,0.348859
2012-03-30,0.335473,0.318028,0.333105
2012-04-09,0.320324,0.348824,0.318085
2012-04-16,0.351013,0.333072,0.348678
2012-04-23,0.335166,0.318031,0.332932
2012-04-30,0.320030,0.348828,0.318099
2012-05-07,0.350711,0.333075,0.347584
2012-05-14,0.334899,0.318034,0.331888
2012-05-21,0.319775,0.348830,0.318209
2012-05-29,0.350347,0.333078,0.340494
2012-06-05,0.334672,0.318037,0.325118
2012-06-12,0.319559,0.348833,0.318939
2012-06-19,0.349544,0.333080,0.314321
2012-06-26,0.334502,0.318039,0.300127
2012-07-03,0.319396,0.348835,0.321947
2012-07-11,0.347321,0.333082,0.307918
2012-07-18,0.334447,0.318041,0.294013
2012-07-25,0.319344,0.348837,0.325385
2012-08-01,0.336449,0.333084,0.310691
2012-08-08,0.334887,0.318043,0.296661
2012-08-15,0.319764,0.348839,0.328422
2012-08-22,0.329801,0.333086,0.313591
2012-08-29,0.335589,0.318044,0.299430
2012-09-06,0.320435,0.348840,0.331067
2012-09-13,0.324387,0.333087,0.316116
2012-09-20,0.336474,0.318045,0.301841
2012-09-27,0.321279,0.348841,0.333369
2012-10-04,0.316656,0.333088,0.318314
2012-10-11,0.337630,0.318046,0.303940
2012-10-18,0.322383,0.348842,0.335373
2012-10-25,0.309372,0.333089,0.320228
2012-11-05,0.339012,0.318047,0.305767
2012-11-12,0.323703,0.348843,0.337117
2012-11-19,0.309216,0.333090,0.321894
2012-11-27,0.340280,0.318048,0.307357
2012-12-04,0.324913,0.348844,0.338636
2012-12-11,0.310249,0.333091,0.323344
2012-12-18,0.341389,0.318049,0.308742
2012-12-26,0.325972,0.348845,0.339958
2013-01-03,0.311253,0.333092,0.324606
2013-01-10,0.342355,0.318050,0.309948
2013-01-17,0.326894,0.348846,0.341109
2013-01-25,0.312133,0.333092,0.325705
2013-02-01,0.343195,0.318050,0.310997
2013-02-08,0.327697,0.348846,0.342111
2013-02-15,0.312899,0.333093,0.326662
2013-02-25,0.343927,0.318051,0.311910
2013-03-04,0.328396,0.348847,0.342984
2013-03-11,0.313566,0.333094,0.327495
2013-03-18,0.344564,0.318052,0.312706
2013-03-25,0.329005,0.348847,0.343743
2013-04-02,0.314147,0.333095,0.328220
2013-04-09,0.345119,0.318053,0.313398
2013-04-16,0.329534,0.348847,0.344404
2013-04-23,0.314653,0.333098,0.328851
2013-04-30,0.345602,0.318056,0.314001
2013-05-07,0.329995,0.348847,0.344979
2013-05-14,0.315093,0.333112,0.329401
2013-05-21,0.346023,0.318069,0.314526
2013-05-29,0.330397,0.348846,0.345480
2013-06-05,0.315477,0.333119,0.329879
2013-06-12,0.346388,0.318075,0.314982
2013-06-19,0.330746,0.348844,0.345917
2013-06-26,0.315810,0.333158,0.330296
2013-07-03,0.346707,0.318113,0.315380
2013-07-11,0.331050,0.348839,0.346296
2013-07-18,0.316101,0.333208,0.330658
2013-07-25,0.346984,0.318161,0.315726
2013-08-01,0.331315,0.348829,0.346627
2013-08-08,0.316354,0.333207,0.330974
2013-08-15,0.347226,0.318160,0.316027
2013-08-22,0.331546,0.348821,0.346915
2013-08-29,0.316574,0.333183,0.331248
2013-09-06,0.347436,0.318137,0.316290
2013-09-13,0.331746,0.348814,0.347165
2013-09-20,0.316765,0.333141,0.331488
2013-09-27,0.347619,0.318097,0.316518
2013-10-04,0.331921,0.348812,0.347383
2013-10-11,0.316932,0.333093,0.331696
2013-10-18,0.347778,0.318051,0.316717
2013-10-25,0.332073,0.348814,0.347573
2013-11-01,0.317077,0.333070,0.331877
2013-11-08,0.347917,0.318029,0.316890
2013-11-15,0.332206,0.348818,0.347738
2013-11-22,0.317204,0.333067,0.332035
2013-12-02,0.348038,0.318026,0.317041
2013-12-09,0.332321,0.348822,0.347882
2013-12-16,0.317314,0.333070,0.332172
2013-12-23,0.348143,0.318029,0.317172
2013-12-31,0.332421,0.348825,0.348007
2014-01-08,0.317410,0.333073,0.332292
2014-01-15,0.348234,0.318032,0.317286
2014-01-23,0.332509,0.348829,0.348116
2014-01-30,0.317493,0.333076,0.332396
2014-02-06,0.348314,0.318035,0.317386
2014-02-13,0.332585,0.348831,0.348211
2014-02-21,0.317566,0.333079,0.332487
2014-02-28,0.348383,0.318037,0.317472
2014-03-07,0.332651,0.348834,0.348294
2014-03-14,0.317629,0.333081,0.332566
2014-03-21,0.348444,0.318040,0.317547
2014-03-28,0.332709,0.348836,0.348366
2014-04-04,0.317684,0.333083,0.332634
2014-04-11,0.348496,0.318041,0.317613
2014-04-21,0.332759,0.348838,0.348429
2014-04-28,0.317732,0.333085,0.332694
2014-05-05,0.348542,0.318043,0.317670
2014-05-12,0.332802,0.348839,0.348483
2014-05-19,0.317774,0.333086,0.332746
2014-05-27,0.348582,0.318044,0.317720
2014-06-03,0.332840,0.348840,0.348531
2014-06-10,0.317810,0.333087,0.332791
2014-06-17,0.348617,0.318046,0.317763
2014-06-24,0.332874,0.348842,0.348572
2014-07-01,0.317842,0.333089,0.332831
2014-07-09,0.348647,0.318047,0.317801
2014-07-16,0.332902,0.348843,0.348608
2014-07-23,0.317869,0.333090,0.332865
2014-07-30,0.348673,0.318048,0.317834
2014-08-06,0.332927,0.348844,0.348639
2014-08-13,0.317893,0.333090,0.332895
2014-08-20,0.348696,0.318049,0.317862
2014-08-27,0.332949,0.348844,0.348666
2014-09-04,0.317914,0.333091,0.332921
2014-09-11,0.348716,0.318049,0.317887
2014-09-18,0.332968,0.348845,0.348690
2014-09-25,0.317932,0.333092,0.332944
2014-10-02,0.348733,0.318050,0.317909
2014-10-09,0.332985,0.348846,0.348711
2014-10-16,0.317948,0.333092,0.332964
2014-10-23,0.348748,0.318050,0.317927
2014-10-30,0.332999,0.348846,0.348729
2014-11-06,0.317962,0.333093,0.332981
2014-11-13,0.348761,0.318051,0.317944
2014-11-20,0.333012,0.348847,0.348744
2014-11-28,0.317974,0.333093,0.332996
2014-12-05,0.348773,0.318051,0.317958
2014-12-12,0.333023,0.348847,0.348758
2014-12-19,0.317984,0.333094,0.333009
2014-12-29,0.348783,0.318052,0.317971
2015-01-06,0.333032,0.348847,0.348770
2015-01-13,0.317993,0.333094,0.333020
2015-01-21,0.348791,0.318052,0.317981
2015-01-28,0.333041,0.348848,0.348780
2015-02-04,0.318001,0.333094,0.333030
2015-02-11,0.348799,0.318052,0.317991
2015-02-19,0.333048,0.348848,0.348789
2015-02-26,0.318008,0.333095,0.333038
2015-03-05,0.348806,0.318053,0.317999
2015-03-12,0.333054,0.348848,0.348797
2015-03-19,0.318014,0.333096,0.333046
2015-03-26,0.348811,0.318054,0.318006
2015-04-02,0.333059,0.348848,0.348804
2015-04-10,0.318019,0.333102,0.333052
2015-04-17,0.348816,0.318060,0.318012
2015-04-24,0.333064,0.348848,0.348810
2015-05-01,0.318024,0.333119,0.333058
2015-05-08,0.348821,0.318075,0.318018
2015-05-15,0.333068,0.348846,0.348815
2015-05-22,0.318028,0.333148,0.333063
2015-06-01,0.348824,0.318103,0.318022
2015-06-08,0.333072,0.348841,0.348819
2015-06-15,0.318031,0.333192,0.333067
2015-06-22,0.348828,0.318145,0.318027
2015-06-29,0.333075,0.348833,0.348823
2015-07-07,0.318034,0.333234,0.333071
2015-07-14,0.348830,0.318186,0.318030
2015-07-21,0.333078,0.348822,0.348827
2015-07-28,0.318037,0.333232,0.333074
